,Clean_Text,Label
0,laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks,positif
1,laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks,positif
2,operasi yustisi gabung tni polri rangka ppkm level cegah kendali,positif
3,ppkm nggkjadi bijak spesial natal,netral
4,muslimahnews laksana ppkm idulfitri natal alas medis beda,positif
5,umum ppkm level eva chaniago full youtube,netral
6,ksp moeldoko batal laku batas giat masyarakat ppkm level bijak gas,positif
7,kodim blitar laksana operasi yustisi ppkm humanis,positif
8,kemarin izin atas minggu esok lbr for tonton konser ehhhhhh siang kbr gagal ppkm lgdg diledekin,negatif
9,ueueue mobil kena ppkm kereta huhu butuh libur ayooo liburaaan,netral
10,anggota kodim kalong laksana patroli edukasi rangka laku ppkm bagi masker,positif
11,anggota kodim kalong laksana patroli edukasi rangka laku ppkm bagi masker,positif
12,kemarin ajak jogja batal akibat ppkm dua eueue,netral
13,oalahh untung gajadi ppkm pulang okeiii ku tunggu,netral
14,nafsu vcs yuk nemenin tante colmek sayang ppkm gempa ci,negatif
15,ppkm level serah,netral
16,tolol jalan bikin lewatin warge situ lewat,negatif
17,cut kerja ppkm bulan,netral
18,lomba kalah masalah sing wis ora ppkm besok lomba balen kalah menang kui wis teta,netral
19,bakti sosial polsek gayamsari camat gayamsari bagi masker rangka ppkm level pasar kre,positif
20,dengar isu ppkm,netral
21,kota bima jajar tni polri tugas pp koramil rasanae kodim bima jajar,netral
22,batal ppkm,netral
23,nafsu vcs yuk nemenin tante colmek sayang ppkm,negatif
24,ppkm dasar joke ku,netral
25,bagi masker ppkm lewel polsek nanggulan,positif
26,tebak sidang formalitas gilir dagang ppkm jual penjara,positif
27,kerja setan harap duniawi paksa manusia sgl takut tuhan yesus,negatif
28,patroli ppkm level polsek nanggulan,positif
29,ppkm kemarin gaboleh sekolah gaboleh libur,netral
30,jalan ppkm ppkm,netral
31,lengah vaksinasi kunci tito buka rapa,negatif
32,momen januari pesawat sriwijaya februari nissa sabyan maret minyak bakar indramayu april kri nangg,netral
33,sekrang ppkm selesai salon giee,netral
34,lumayan malam ppkm malam tiga lempoh sikile,netral
35,lengah vaksinasi kunci tito buka rapat,negatif
36,balik batal ppkm level presiden joko widodo tekan terap protokol,positif
37,model kaya egois kasih sangsi sosial lihat rakyat kena imbas ppkm manusia model,negatif
38,ppkm level batal terap rata ksp perintah batas kegi,netral
39,nonton konser duduk enak akibat korea ppkm pro max,netral
40,seru banget acara balaikota solo manusia solo ppkm nanya serius,netral
41,virtual hug ppkm,netral
42,dewan bangli sambut positifbatal ppkm level iii,netral
43,rumah ppkm,netral
44,bunda ayah bingung libur susul batal ppkm level natal foto,netral
45,ppkm mulu bangsat,negatif
46,koramil tawangmangu kamis desember anggota koramil tawangmangu dpp serda ari sutopo laksa,netral
47,koramil tawangmangu kamis desember anggota koramil tawangmangu dpp serda ari sutopo laksa,netral
48,koramil tawangmangu kamis desember anggota koramil tawangmangu dpp serda ari sutopo laksa,netral
49,ppkm nataru batal,netral
50,ppkm level batal waspada,netral
51,koramil tawangmangu kamis desember anggota koramil dpp serma kusnanto laksana patroli,positif
52,koramil tawangmangu kamis desember anggota koramil dpp serma kusnanto laksana patroli,positif
53,koramil tawangmangu kamis desember anggota koramil dpp serma kusnanto laksana patroli,positif
54,ppkm,netral
55,fungsi vaksin turun lebaran pergi ibadah,netral
56,ppkm nataru putus perintah rubah ppkm level beda level tiap wilayah indonesia menyambu,netral
57,kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli,positif
58,puan maharani perintah terap ppkm level beda tiap wilayah penuh adi,positif
59,kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli,positif
60,dunia anggap indonesia sukses tangan gelombang terap ppkm capai vaksinasi,positif
61,yauda ppkm jugaa,netral
62,kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli,positif
63,kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli,positif
64,puan maharani harap masyarakat patuh himbauan perintah taat proses sambut nataru,positif
65,ppkm batal jabar laku ketat,netral
66,giat rutin apel siaga rangka cipta kamtibmas terap ppkm mikro level wilayah camat,positif
67,takut ppkm,netral
68,naevis baju ketat banget ppkm,netral
69,koramil tawangmangu kamis tanggal desember serma handoko tugas pp laksana patroli tegak,positif
70,koramil tawangmangu kamis tanggal desember serma handoko tugas pp laksana patroli tegak,positif
71,suap langgar atur ppkm,negatif
72,koramil tawangmangu kamis tanggal desember serma handoko tugas pp laksana patroli tegak,positif
73,dasar kaum adam akhir desember hilang status jones gampang ppkm batal,netral
74,harap moga batal ppkm level nataru sebab lonjak positifkrna kena,negatif
75,bhabinkamtibmas hadir giat serah blt dd desember masyarakat dampak ppkm darurat,negatif
76,ppkm ua besti gada pasar malam,netral
77,sales vaksin vaksin kemarin omicron perintah ppkm,netral
78,social distancing mulu ppkm,netral
79,rak main anak rak susun roda plastik simpan serbaguna rak kamar rak dapur cek,netral
80,dasar kaum adam akhir desember hilang status jones gampang ppkm,netral
81,tangsel terap ppkm level ekonomi sektor hotel restoran angsur pulih,positif
82,ppkm kota sukabumi,netral
83,dach bobok gich dach malam besok kanda kerja tambah cz ruang menampu,netral
84,jakarta libur ppkm dibatalin,netral
85,kabid humas polda jabar tegak disiplin prokes polisi bagi masker tengah ppkm,positif
86,malming ppkm,netral
87,chanel youtube ale tamaela jam galbay pinjol silah rapat youtube melawanpinjol ale,netral
88,cari video kolaborasi mama fikir potong abis dance tau doank kolaborasi ppkm,netral
89,menteri hormat ngiku,netral
90,pergi tatto ppkm plain,netral
91,beres ppkm mutual dom bandung nongkrong kedai,netral
92,langgar ppkm ppkm ubah,negatif
